title,mean_salary,skills,source,index
Software Engineer ( Backend ),0,,Internshala,1
Senior Research Analyst,0,,Internshala,2
Junior Software Developer,0,,Internshala,3
MEAN Stack Developer,0,,Internshala,4
Business Analyst,0,,Internshala,5
Assistant Manager,0,,Internshala,6
Technical Support Engineer,0,,Internshala,7
Merchant Risk Investigator,0,,Internshala,8
Data Analyst,0,,Internshala,9
Data Analyst 1,0,,Linkedin,10
Data Scientist,0,,Linkedin,11
Data Scientist,0,,Linkedin,12
Junior Data Scientist,0,,Linkedin,13
AI/ML Engineer,0,,Linkedin,14
Data Scientist,0,,Linkedin,15
Data Analyst,0,,Linkedin,16
Data Scientist,0,,Linkedin,17
Data Analyst Logistics,0,,Linkedin,18
Data Scientist,0,,Linkedin,19
Data Analyst,0,,Linkedin,20
Data Quality Analyst,0,,Linkedin,21
Data Analyst,0,,Linkedin,22
Data Quality Analyst,0,,Linkedin,23
Data Scientist,0,,Linkedin,24
Data Scientist,0,,Linkedin,25
Data Analyst,0,,Linkedin,26
Data Scientist,0,,Linkedin,27
Data Analyst,0,,Linkedin,28
Data Analyst 2,0,,Linkedin,29
ML Engineer - Bangalore - Immediate Joiner,0,,Linkedin,30
Data Scientist,0,,Linkedin,31
Data Analyst,0,,Linkedin,32
Machine Learning Engineer,0,,Linkedin,33
Machine Learning Engineer,0,,Linkedin,34
Data Scientist,0,,Linkedin,35
Data Scientist (Time Series Analysis),0,,Linkedin,36
Data Analyst,0,,Linkedin,37
Business Analyst,0,,Linkedin,38
Data Scientist,0,,Linkedin,39
Business Analyst,0,,Linkedin,40
Data Scientist,0,,Linkedin,41
Strategy and Data - Founder's Office,0,,Linkedin,42
Data Scientist,0,,Linkedin,43
AI & IOT (AIML),0,,Linkedin,44
Data Scientist,0,,Linkedin,45
Social Media Manager,0,,Linkedin,46
Sales Operations Analyst,0,,Linkedin,47
Staff Engineer - Data scientist,0,,Linkedin,48
Data Scientist,0,,Linkedin,49
Data Scientist,0,,Linkedin,50
Associate Product Manager,0,,Linkedin,51
Data Scientist,0,,Linkedin,52
Risk - Analytics & Reporting - Associate - Bengaluru,0,,Linkedin,53
Data Analyst- Operations,0,,Linkedin,54
Data Analyst,0,,Linkedin,55
Product Analytics Associate (Based in Dubai),0,,Linkedin,56
AI/ML Developer (Python),0,,Linkedin,57
Product Analyst,0,,Linkedin,58
AI Engineer,0,,Linkedin,59
Data Scientist,0,,Linkedin,60
Junior Data Scientist,0,,Linkedin,61
AI/ML Developer (Python),0,,Linkedin,62
"Analyst, Pricing Analytics",0,,Linkedin,63
AI Engineer,0,,Linkedin,64
"Operations Manager, Onboarding",0,,Linkedin,65
Data Analyst,0,,Linkedin,66
Machine Learning Engineer,0,,Linkedin,67
Data Scientist & Gen AI - Jio Platforms,0,,Linkedin,68
Applied Scientist,0,,Linkedin,69
Data Science Analytics Analyst,0,ms access power bi sql r advanced excel python data analytics sql queries,Naukri.com,70
Python Developer - Data Science - Tiger analytics,0,machine learning numpy data science pandas python data validation azure tabular data,Naukri.com,71
S&C Global Network - AI - Hi Tech - Data Science Sr. Analyst,0,erp python natural language processing plm crm plaster flooring microsoft azure,Naukri.com,72
Python Developer (Data Science),0,pandas numpy python python development data development science data science,Naukri.com,73
"Manager, Data Science 2",0,data analysis analytical finance hypothesis testing instrumentation commerce analytics monitoring,Naukri.com,74
Data Science Practitioner,0,azure machine learning microsoft azure machine learning algorithms statistics data munging natural language processing big data technologies power bi,Naukri.com,75
Data Science Engineer,0,data science data science,Naukri.com,76
Data Science Professional,0,matlab algorithms python data analytics sas credit risk lgd business analysis,Naukri.com,77
Data Science Professional,0,,Naukri.com,78
S&C Global Network - AI - Resources - Data Science Analyst,0,sql gen statistical modeling vector machine learning algorithms advanced analytics python data analysis,Naukri.com,79
S&C Global Network - AI - Life Sciences -Data Science Analyst,0,microsoft azure sql qlikview spark aws python data management hypothesis testing,Naukri.com,80
Senior Data Science Consultant,0,data analysis customer analytics analytical econometrics forecasting operations analytics financial services,Naukri.com,81
Analyst Data Science,0,business objects sas process improvement xml javascript data collection manager quality control spss,Naukri.com,82
Analytics Data science and IOT Engineer,0,automation data analysis data modeling delivery analyst database data quality analytics sql,Naukri.com,83
Data Science Engineer,0,data science artificial intelligence machine learning python sql intelligence science machine,Naukri.com,84
Analytics Data science and IOT Lead,0,computer science git version control data science cloud natural language processing data visualization sdlc,Naukri.com,85
Data Science Practitioner,0,azure machine learning microsoft azure machine learning algorithms statistics data munging natural language processing big data technologies power bi,Naukri.com,86
MACHINE LEARNING / DATA SCIENCE TRAINER,0,training deep learning tableau data science coding analytical machine learning subject matter expert,Naukri.com,87
Python Developer (Data Science),0,solution architecture data science debugging programming manager technology room python testing,Naukri.com,88
Data Sciences Intern V,0,advanced analytics payroll interpersonal skills sas consulting operations internship analytics,Naukri.com,89
Data Science Engineer,0,hive algorithms python natural language processing neural networks data pipeline machine learning data engineering,Naukri.com,90
Machine Learning / Data Science Engineers,0,data science machine learning science machine data,Naukri.com,91
AI and Data Science Engineer,0,analytical artificial intelligence machine learning data collection healthcare forecasting monitoring sql,Naukri.com,92
Data Science,0,python data analysis data analytics natural language processing neural networks predictive analytics machine learning artificial intelligence,Naukri.com,93
Messaging Trust Data Analyst,0,machine learning data analysis data science business writing customer management artificial intelligence problem resolution analysis,Naukri.com,94
Jr. Data Scientist / Data Scientist,0,data science analytics data manipulation predictive modeling ai statistical analysis machine learning sql,Naukri.com,95
Life science-Data Scientist,0,artificial intelligeance machine learning ml ai machine artificial intelligence,Naukri.com,96
Data Scientist Intern,0,,Naukri.com,97
Senior Data Analyst - Cx,0,test strategy analytical manager technology data structures deployment data analytics data analyst management,Naukri.com,98
Data Science + Data Engineering (Hadoop),0,microstrategy computer science data analysis analytical machine learning agile open source jira,Naukri.com,99
Senior Data Scientist,0,data science statistical modeling machine learning deep learning python data science modeling,Naukri.com,100
Data Scientist,0,data science elk statistical modelling springboot nodejs powershell scripting sql modeling,Naukri.com,101
Data Scientist,0,data science elk statistical modelling springboot nodejs powershell scripting sql statistics,Naukri.com,102
Data Analyst,0,data science focus consulting it infrastructure programming data analyst data analytics weaving,Naukri.com,103
Data Analyst,0,automation data science life sciences data analytics microsoft oracle operations bioinformatics,Naukri.com,104
"Associate, Data Science",0,operations research coding analytical consulting management consulting internship analytics sql,Naukri.com,105
Data Analyst - Cx,0,test strategy analytical banking manager technology data analyst data analytics continuous improvement analytics,Naukri.com,106
Excelher - Data Analyst,0,analyst data analysis data management power bi data privacy data analyst data analytics big data,Naukri.com,107
Data Analyst,0,data science data warehouse sql data analyst python data analysis customer marketing data cleaning data mining,Naukri.com,108
Data Scientist,0,sql survival analysis python predictive modeling artificial intelligence pharmaceutical machine learning data science,Naukri.com,109
Data Science Analyst,0,data science analyst  data science  test model quality  product development  marketing techniques  customer experiences  revenue generation  ad targeting,Timesjobs,110
Data Science Analytics,0,data analysis  deploying models  github  python  continuous integration  hive  agile methodology  azure machine learning  pyspark,Timesjobs,111
Associate - Data Science,0,visualization  data analytics  sas  spss  tableau  data science  data scientist  software development methodologies,Timesjobs,112
"Business Intelligence Engineer , Ring Data Science and Engineering",0,data analysis  statistical modeling  dashboard creation  problem solving  communication skills  visualization  business requirements  bi  dashboards  database   business analysis  infrastructure,Timesjobs,113
USCA - C10 - Data Science at Citi,0,data analytics  machine learning  deep learning  statistical modeling  communication skills  business requirements  information technology  use cases  domain expert  predictive modeling  sql   visualization  analysis  information management  analyst  statistical analysis,Timesjobs,114
OnMobile Openings | Senior Software Engineer Data Science,0,python  restful apis  machine learning  html5  javascript  senior software engineer  git,Timesjobs,115
"Data Scientist , AWS Support Strategy Analytics and Data Science , Support Engineering",0,analytics  predictive modeling  optimization algorithms  data science  machine learning  storage  artificial intelligence  security  cloud computing  python,Timesjobs,116
"R & D Associate Engineer - Data Science in Bangalore , Karnataka , India | ABB",0,data science  machine learning  data analysis  python  r programming  statistical analysis  associate engineer  supervision  abb  documentation  ideas  process automation,Timesjobs,117
"Software Engineer III , Search Science Data Infrastructure",0,software development  big data  machine learning  system architecture  operations excellence  production  product development  operational excellence,Timesjobs,118
"Sr Data Scientist , AWS Support Strategy Analytics and Data Science , Support Engineering",0,analytics capabilities  predictive modeling  optimization algorithms  data science  machine learning  storage  artificial intelligence  security  cloud computing  python,Timesjobs,119
Data Analyst,0,data management  data analyst  analyst  senior business analyst,Timesjobs,120
Sr Developer - EDM - J47972A,0,data warehouse,Timesjobs,121
"✈️ , Vacancy for Junior Executive at Airports Authority of India",0,ground staff  computer operator  data entry  project manager  air ticketing  cabin crew  hr  hospitality  customer service  security gard  housekeeping  banking  accountant,Timesjobs,122
Airport / Airline for Fresher / experience all. HR Maya 887820#7017,0,ground staff  computer operator  data entry  project manager  air ticketing  cabin crew  hr  hospitality  customer service  security gard  housekeeping  banking  accountant,Timesjobs,123
"APPLY URGENT AIRPORT JOBS AIRLINES GROUND STAFF , 97185#79262 , HR",0,ground staff  computer operator  data entry  project manager  air ticketing  cabin crew  hr  hospitality  customer service  security gard  housekeeping  banking  accountant,Timesjobs,124
SQL Developer,0,sql developer only,Timesjobs,125
NestJs Developer,0,nestjs,Timesjobs,126
Associate Product Manager,0,product information  product marketing  product management  market research  brand management  brand marketing  business development,Timesjobs,127
Frontend Developer ( All levels ),0,html  css  javascript  react  angular  nodejs  vuejs  git  c,Timesjobs,128
Software Developer,0,python  sql  java  php  web development  debugging skills  css  python framework  freshers  java programming  html  troubleshooting skills  javascript  reactjs  core java,Timesjobs,129
Data Scientist,0,sas  data science  use cases  predictive modeling  data scientist,Timesjobs,130
"Administartion , Administrative Assist",0,neural networks  data science  web technologies  microservices  data base administration  python  ann,Timesjobs,131
Data Scientist,0,linear regression  data science  data scientist  statistical modeling  logistic regression  arima  advanced analytics  artificial neural networks,Timesjobs,132
Machine Learning Engineer,0,machine learning  docker  data science,Timesjobs,133
Decision Science Analyst,0,data mining  sql  team player,Timesjobs,134
Decision Science Analyst,0,data mining  sql  data visualization  data analysis  pricing models  tableau  analyst,Timesjobs,135
Data Analyst,0,data analysis  data analytics  data mining  business analysis  business analyst  data analyst   advanced excel,Timesjobs,136
Nielsen - Data Scientist,0,data analysis  python programming  sql development  tableau visualization  aws experience   scientist,Timesjobs,137
Data and Analytics Solution Expert,0,spss  data warehousing  sql  data science  data visualization  advanced analytics  solution architect  sas  tableau  project delivery,Timesjobs,138
Data Scientist,0,data science  machine learning  python  r programming  statistical analysis  model deployment  algorithms  sql  database  extraction  hadoop  big,Timesjobs,139
Senior Data Scientist / Data Scientist 2,0,data science  machine learning  statistical analysis  data visualization  python  data analysis  dashboards  tableau  scientist,Timesjobs,140
Assistant Professor ( Computer Science ),0,education  engineering,Timesjobs,141
Data Analyst,0,visualization  regression analysis  dashboards  sql  java  data science  data structures  analytics  customer success  sas  business analytics  analyst  tableau  unix  linux,Timesjobs,142
Lead Data Scientist,0,linear regression  sql  it management  data science  use cases  data scientist  logistic regression  client interaction,Timesjobs,143
Sr Data Scientist,0,data science  machine learning  model development  analytics  ai implementation  prototyping  production  harness,Timesjobs,144
Sr Data Scientist,0,data science  machine learning  ai modeling  big data analytics  business solutions  prototyping  production  harness,Timesjobs,145
Senior Associate - Data Analytics - Model developer,0,visualization  bi  dashboards  sql  data science  data visualization  advanced analytics  analytics  analyst,Timesjobs,146
Data Scientist,0,aws solutions  data science  machine learning  statistical modeling  optimization techniques  algorithms  ensemble  linear programming  cloud computing  cloud services  problem solving  infrastructure,Timesjobs,147
"Data Scientist ( L5 ) , CoBRA",0,data analysis  machine learning  statistical modeling  business communication  data science  algorithms  scala  bi  sql,Timesjobs,148
Data Alignment Lead,0,data analysis  project management  stakeholder management  communication  problem solving  hosting   advanced excel  advanced analytics  business process  written communication,Timesjobs,149
Senior Data Analyst,0,data analytics  data visualization  business intelligence  statistical  ml techniques  team management  san  advanced analytics  spotfire  bi  analyst  tableau   client interaction  sql database,Timesjobs,150
Business Intelligence Engineer,0,data analytics  data science  business analysis  sql  excel  advanced analytics,Timesjobs,151
"Sr. Applied Scientist , Last Mile Geospatial Science",0,predictive modelling  natural language processing  machine learning  communication skills  large scale  mx,Timesjobs,152
Data Engineer- AtScale / Data,0,data engineer  atscale  python  sql  etl  sap data,Timesjobs,153
Security Engineer,0,security engineering  cybersecurity threats  data science  software development  mentorship  learning,Timesjobs,154
Nielsen - Data Scientist - Optimization Expertise,0,mathematical optimization  python programming  data science algorithms  statistical modeling  communication skills   sql  apache  simulation models  c  sas  machine learning  written communication,Timesjobs,155
Data Scientist Job Details | ExxonMobil,0,data science  machine learning  statistical analysis  python  r  software engineering  devops  software testing  ensemble  security  pattern recognition  natural language processing,Timesjobs,156
Data Engineer,0,data engineer  process oriented with great documentation skills  excellent problem solving and troubleshooting skills,Timesjobs,157
Data Scientist,0,mathematics  case studies  literature  science  statistics,Timesjobs,158
HSSE Q & R Data Analyst - Resource Center India Job Details | singlebuoy,0,data analysis  data visualization  statistical analysis  business requirements  data management  bi  dashboards   analytics  analyst  written communication  predictive modeling  governance  forms,Timesjobs,159
