title,url,company,location,experience,salary,tags,source,index
Machine Learning Developer,https://www.linkedin.com/jobs/view/machine-learning-developer-at-mindpal-3765320171?position=1&pageNum=0&refId=7HohPo8CnR4Q4WtfEKz8%2Fg%3D%3D&trackingId=TgwYrfHQ0Ssr3acGXfeD0A%3D%3D&trk=public_jobs_jserp-result_search-card,MindPal,"Cincinnati, OH",0-3 years,,,Linkedin,1
Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-saxon-global-3963490861?position=2&pageNum=0&refId=7HohPo8CnR4Q4WtfEKz8%2Fg%3D%3D&trackingId=ruJSeq7yKXOl74Q%2Fv7Qkfw%3D%3D&trk=public_jobs_jserp-result_search-card,Saxon Global,"Cincinnati, OH",0-3 years,,,Linkedin,2
AI RESEARCH SCIENTIST/ENGINEER,https://www.linkedin.com/jobs/view/ai-research-scientist-engineer-at-gen-9-3947975728?position=3&pageNum=0&refId=7HohPo8CnR4Q4WtfEKz8%2Fg%3D%3D&trackingId=2L6TweCgIif9z%2F1SpFw5uA%3D%3D&trk=public_jobs_jserp-result_search-card,Gen 9,"Covington, KY",0-3 years,,,Linkedin,3
Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-eteam-3571645509?position=4&pageNum=0&refId=7HohPo8CnR4Q4WtfEKz8%2Fg%3D%3D&trackingId=dX6mxImRVpbQITacCSsIdg%3D%3D&trk=public_jobs_jserp-result_search-card,eTeam,"Cincinnati, OH",0-3 years,,,Linkedin,4
Emerging Technology Data Scientist,https://www.linkedin.com/jobs/view/emerging-technology-data-scientist-at-great-american-insurance-group-3931937547?position=5&pageNum=0&refId=7HohPo8CnR4Q4WtfEKz8%2Fg%3D%3D&trackingId=CB6ctxmVojE0Omac7uTmuA%3D%3D&trk=public_jobs_jserp-result_search-card,Great American Insurance Group,"Cincinnati, OH",0-3 years,,,Linkedin,5
Biomechanical/Biomedical Research Engineer,https://www.linkedin.com/jobs/view/biomechanical-biomedical-research-engineer-at-gen-9-3934992998?position=6&pageNum=0&refId=7HohPo8CnR4Q4WtfEKz8%2Fg%3D%3D&trackingId=6enlzZdhOvTWKjZqYYxfpw%3D%3D&trk=public_jobs_jserp-result_search-card,Gen 9,"Covington, KY",0-3 years,,,Linkedin,6
AI/ML and MLOps Field Engineer,https://www.linkedin.com/jobs/view/ai-ml-and-mlops-field-engineer-at-canonical-3959701463?position=7&pageNum=0&refId=7HohPo8CnR4Q4WtfEKz8%2Fg%3D%3D&trackingId=1yXjkaD7yUl706mI39%2BwDg%3D%3D&trk=public_jobs_jserp-result_search-card,Canonical,"Cincinnati, OH",0-3 years,,,Linkedin,7
Python Developer,https://www.linkedin.com/jobs/view/python-developer-at-indus-valley-consultants-3959996844?position=8&pageNum=0&refId=7HohPo8CnR4Q4WtfEKz8%2Fg%3D%3D&trackingId=p7qcvBqmMCPyMWwZw1qxjg%3D%3D&trk=public_jobs_jserp-result_search-card,Indus Valley Consultants,"Cincinnati, OH",0-3 years,,,Linkedin,8
Junior Software Developer - Remote,https://www.linkedin.com/jobs/view/junior-software-developer-remote-at-synergisticit-3960203081?position=9&pageNum=0&refId=7HohPo8CnR4Q4WtfEKz8%2Fg%3D%3D&trackingId=QcWWtE5PMj0DG30lMdAT%2FQ%3D%3D&trk=public_jobs_jserp-result_search-card,SynergisticIT,"Cincinnati, OH",0-3 years,,,Linkedin,9
Software Engineer - Python and K8s,https://www.linkedin.com/jobs/view/software-engineer-python-and-k8s-at-canonical-3966993754?position=10&pageNum=0&refId=7HohPo8CnR4Q4WtfEKz8%2Fg%3D%3D&trackingId=I9MpmTa9Lj2CjiVnyRxy8Q%3D%3D&trk=public_jobs_jserp-result_search-card,Canonical,"Cincinnati, OH",0-3 years,,,Linkedin,10
Junior Developer,https://www.linkedin.com/jobs/view/junior-developer-at-valco-melton-3959675415?position=11&pageNum=0&refId=7HohPo8CnR4Q4WtfEKz8%2Fg%3D%3D&trackingId=4EI6xzC4S1uRdJEvoEXk2A%3D%3D&trk=public_jobs_jserp-result_search-card,Valco Melton,Cincinnati Metropolitan Area,0-3 years,,,Linkedin,11
Full Stack Machine Learning Engineer,https://www.linkedin.com/jobs/view/full-stack-machine-learning-engineer-at-pieces-for-developers-3648720489?position=12&pageNum=0&refId=7HohPo8CnR4Q4WtfEKz8%2Fg%3D%3D&trackingId=YfdWdQ%2BGxRtsjFFMdvyhYQ%3D%3D&trk=public_jobs_jserp-result_search-card,Pieces for Developers,"Cincinnati, OH",0-3 years,,,Linkedin,12
